text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
RT @asamkhan852: Guys grab your keybords and start trending now #WeStandWithFIA salute FIA,FALSE,0,NA,2018-11-30T18:52:37Z,FALSE,NA,1.06858E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FaisalJadoon19,38,TRUE,FALSE,NA,NA
RT @MakkikhanPTi: #WeStandWithFIA PTM will not say a single word against American drone strike in Afghanistan but they will malign Pak Army…,FALSE,0,NA,2018-11-30T18:52:35Z,FALSE,NA,1.06858E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Rockniik,73,TRUE,FALSE,NA,NA
"RT @saqiburrehman: #WeStandWithFIA
PTM is silent on afghan army and Nato war crimes.
No voice for afghan pastoon rights https://t.co/Jf9llF…",FALSE,0,NA,2018-11-30T18:52:34Z,FALSE,NA,1.06858E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",jahan_virk,46,TRUE,FALSE,NA,NA
RT @junaidzaibkhan: all the taliban leaders belong from Manzoor meshud tribe that is reason he changed his name from Manzoor mehsud to Manz…,FALSE,0,NA,2018-11-30T18:52:34Z,FALSE,NA,1.06858E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Main_Imrann,123,TRUE,FALSE,NA,NA
RT @jahan_virk: #WeStandWithFIA why so called pashtun tahfuz movement silent on this barbarism? https://t.co/RW6n6e1h9T,FALSE,0,NA,2018-11-30T18:52:30Z,FALSE,NA,1.06858E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",shakeeldarwesh1,81,TRUE,FALSE,NA,NA
"RT @AnalyticalFront: #WeStandWithFIA
#PTM just targeting our Army on perception based issues. Their main motto is to demoralize our Army ag…",FALSE,0,NA,2018-11-30T18:52:29Z,FALSE,NA,1.06858E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Um_e_Rubab,122,TRUE,FALSE,NA,NA
"RT @AnalyticalFront: #WeStandWithFIA
PTM is anti state &amp; anti Army party. The main purpose of this party is to just destabilize this countr…",FALSE,0,NA,2018-11-30T18:52:29Z,FALSE,NA,1.06858E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",jahan_virk,16,TRUE,FALSE,NA,NA
"RT @asamkhan852: Dear all trending time now 

#WeStandWithFIA https://t.co/Q6l7zkAY5f",FALSE,0,NA,2018-11-30T18:52:29Z,FALSE,NA,1.06858E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Main_Imrann,112,TRUE,FALSE,NA,NA
RT @AhsanAhmaddd: We must stand with FIA to ensure the saftey of homeland against the anti-state actors which should be banned at all cost.…,FALSE,0,NA,2018-11-30T18:52:26Z,FALSE,NA,1.06858E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",jahan_virk,65,TRUE,FALSE,NA,NA
RT @jahan_virk: #WeStandWithFIA These anarchist elements have now evolved from ethnic rights protests to laying siege to law enforcement of…,FALSE,0,NA,2018-11-30T18:52:24Z,FALSE,NA,1.06858E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Um_e_Rubab,139,TRUE,FALSE,NA,NA
RT @MakkikhanPTi: #WeStandWithFIA PTM will not say a single word against American drone strike in Afghanistan but they will malign Pak Army…,FALSE,0,NA,2018-11-30T18:52:22Z,FALSE,NA,1.06858E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",jahan_virk,73,TRUE,FALSE,NA,NA
"RT @AnalyticalFront: #WeStandWithFIA&amp;with our Pak Army. No doubt, PTM is working on the agenda of anti state actors. https://t.co/5ADB4Rqk10",FALSE,0,NA,2018-11-30T18:52:22Z,FALSE,NA,1.06858E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Rockniik,58,TRUE,FALSE,NA,NA
RT @jahan_virk: #WeStandWithFIA These anarchist elements have now evolved from ethnic rights protests to laying siege to law enforcement of…,FALSE,0,NA,2018-11-30T18:52:22Z,FALSE,NA,1.06858E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Main_Imrann,139,TRUE,FALSE,NA,NA
RT @DaniyalFaridi: #WeStandWithFIA Afghans hold backward and forward off ropes well as both has a forces anti states. https://t.co/VjwOpDEs…,FALSE,0,NA,2018-11-30T18:52:19Z,FALSE,NA,1.06858E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Rockniik,41,TRUE,FALSE,NA,NA
RT @jahan_virk: #WeStandWithFIA FIA has placed them in ECL. They were  given many reasons about why are they placed in ECL. https://t.co/BF…,FALSE,0,NA,2018-11-30T18:52:16Z,FALSE,NA,1.06858E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Um_e_Rubab,148,TRUE,FALSE,NA,NA
RT @jahan_virk: #WeStandWithFIA These coward terrorist attacked on our defence line they should be punished. https://t.co/lYt90HRsWd,FALSE,0,NA,2018-11-30T18:52:15Z,FALSE,NA,1.06858E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Rockniik,32,TRUE,FALSE,NA,NA
#WeStandWithFIA doom with the traitors. https://t.co/nePpL4RdIn,FALSE,1,NA,2018-11-30T18:52:14Z,FALSE,NA,1.06858E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AzharRai,1,FALSE,FALSE,NA,NA
"RT @jahanzaib_kakar: #WeStandWithFIA
I salute my law enforcement agencies specially FIA against these https://t.co/tbNic8vXTi",FALSE,0,NA,2018-11-30T18:52:14Z,FALSE,NA,1.06858E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",jahan_virk,84,TRUE,FALSE,NA,NA
RT @abidamunir110: Shame on RAW and CIA sponsored PTM for fake propegenda against Pakistan Army #WeStandWithFIA.. https://t.co/FJ65WqaZ3C,FALSE,0,NA,2018-11-30T18:52:10Z,FALSE,NA,1.06858E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Um_e_Rubab,83,TRUE,FALSE,NA,NA
"RT @IramFarhanVirk: This is awesome 
 #WeStandWithFIA https://t.co/Ug20nUrKV7",FALSE,0,NA,2018-11-30T18:52:07Z,FALSE,NA,1.06858E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Main_Imrann,233,TRUE,FALSE,NA,NA
"RT @SajidaPTI: #WeStandWithFIA
 PTM is just using name.of Pakhtoons ... They r not actually interested in them https://t.co/5VjvD84vaj",FALSE,0,NA,2018-11-30T18:52:06Z,FALSE,NA,1.06858E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",jahan_virk,47,TRUE,FALSE,NA,NA
